firstName,lastName,party,tags
Dennis,Davis,Davis Family,family
Emily,Davis,Davis Family,family
Ashley,Davis,Davis Family,family
Patrick,Rodriguez,,friends
Nicole,Wright,Wright Family,friends
Jeffrey,Wright,Wright Family,friends
John,Wright,Wright Family,friends
Sandra,Garcia,,groomsmen
Brenda,Hill,Hill Family,family
Betty,Hill,Hill Family,family
Donald,Wright,Wright Family,childhood friends
Cynthia,Wright,Wright Family,childhood friends
Catherine,Smith,Smith Family,bridal party
Jeffrey,Smith,Smith Family,bridal party
Margaret,Moore,Moore Family,bridal party
Maria,Moore,Moore Family,bridal party
Ronald,Miller,Miller Family,friends
Richard,Miller,Miller Family,friends
Jennifer,Thompson,Thompson Family,work
Janet,Thompson,Thompson Family,work
Ronald,Wright,Wright Family,friends
William,Wright,Wright Family,friends
Pamela,Jackson,Jackson Family,college
Anthony,Jackson,Jackson Family,college
Alexander,Jones,Jones Family,family
Sandra,Jones,Jones Family,family
Tyler,Jones,Jones Family,family
Richard,Garcia,Garcia Family,groomsmen
Ronald,Garcia,Garcia Family,groomsmen
Daniel,Robinson,Robinson Family,college
Deborah,Robinson,Robinson Family,college
Catherine,Wilson,Wilson Family,work
Rachel,Wilson,Wilson Family,work
Stephen,Jones,Jones Family,bridal party
Janet,Jones,Jones Family,bridal party
Ashley,Jones,Jones Family,bridal party
Andrew,Robinson,,childhood friends
Rachel,Scott,Scott Family,groomsmen
Carol,Scott,Scott Family,groomsmen
Tyler,Scott,Scott Family,groomsmen
John,Brown,Brown Family,groomsmen
Kevin,Brown,Brown Family,groomsmen
Rebecca,Brown,Brown Family,groomsmen
Andrew,Brown,Brown Family,groomsmen
Margaret,Wilson,,college
Gregory,Young,Young Family,childhood friends
Jacob,Young,Young Family,childhood friends
Charles,Young,Young Family,childhood friends
Ruth,Rodriguez,Rodriguez Family,groomsmen
Brenda,Rodriguez,Rodriguez Family,groomsmen
Scott,Taylor,Taylor Family,childhood friends
Rebecca,Taylor,Taylor Family,childhood friends
Angela,Anderson,Anderson Family,bridal party
Shirley,Anderson,Anderson Family,bridal party
Karen,Brown,,friends
Brandon,Hernandez,Hernandez Family,childhood friends
David,Hernandez,Hernandez Family,childhood friends
Stephanie,Hernandez,Hernandez Family,childhood friends
Helen,Hill,Hill Family,neighbors
Paul,Hill,Hill Family,neighbors
Rachel,Smith,Smith Family,friends
Stephen,Smith,Smith Family,friends
Joseph,Moore,Moore Family,college
Donna,Moore,Moore Family,college
Laura,Moore,Moore Family,college
Daniel,Moore,Moore Family,college
Eric,Smith,Smith Family,work
Maria,Smith,Smith Family,work
Samuel,Allen,,friends
Karen,Allen,Allen Family,groomsmen
Deborah,Allen,Allen Family,groomsmen
Carol,Hernandez,Hernandez Family,family
Nicholas,Hernandez,Hernandez Family,family
Robert,Hernandez,Hernandez Family,family
Steven,White,,work
William,Thomas,,friends
Maria,Young,Young Family,friends
Stephen,Young,Young Family,friends
Tyler,Young,Young Family,friends
Larry,Rodriguez,,neighbors
Margaret,Taylor,,childhood friends
Rebecca,Gonzalez,Gonzalez Family,work
Debra,Gonzalez,Gonzalez Family,work
Jonathan,White,White Family,neighbors
Cynthia,White,White Family,neighbors
Jessica,White,White Family,neighbors
Amanda,Anderson,,friends
Nicole,Nguyen,,groomsmen
Raymond,Smith,,friends
David,Brown,Brown Family,groomsmen
Brian,Brown,Brown Family,groomsmen
Emily,Allen,,groomsmen
Anna,Young,Young Family,groomsmen
Thomas,Young,Young Family,groomsmen
Jack,Young,Young Family,groomsmen
Ashley,Torres,Torres Family,neighbors
Gary,Torres,Torres Family,neighbors
Richard,Clark,Clark Family,groomsmen
Alexander,Clark,Clark Family,groomsmen
Laura,Clark,Clark Family,groomsmen
